"Name";"Solution_Found";"End_Reason";"Actions";"Cost";"Expanded";"Max_Depth";"Max_Frontier";"Runtime";"Final_State"
"Breadth First Search";FALSE;"Iterations";NA;NA;2500;4;17265;0.6897;"?"
"Breadth First Search + GS";TRUE;"Solution";5;600;84;5;28;0.0129;"8,9,0"
"Depth First Search";FALSE;"Iterations";NA;NA;2500;2499;13754;0.8928;"?"
"Depth First Search + GS";TRUE;"Solution";13;1560;16;13;20;0.0019;"8,9,0"
"Depth Limited Search - Limit=20";FALSE;"Iterations";NA;NA;2500;20;118;0.1581;"?"
"Depth Limited Search - Limit=20 + GS";TRUE;"Solution";13;1560;16;13;20;0.0022;"8,9,0"
"Iterative Deepening Search - Final Limit=4";FALSE;"Iterations";NA;NA;2500;4;28;0.0549;"?"
"Iterative Deepening Search - Final Limit=8 + GS";TRUE;"Solution";7;840;345;7;16;0.0385;"8,9,0"
"Uniform Cost Search";FALSE;"Iterations";NA;NA;2500;4;17174;17.1582;"?"
"Uniform Cost Search + GS";TRUE;"Solution";5;600;80;5;28;0.0205;"8,9,0"
"Greedy Best-First Search";TRUE;"Solution";5;600;6;5;37;0.0012;"8,9,0"
"Greedy Best-First Search + GS";TRUE;"Solution";5;600;6;5;23;0.0013;"8,9,0"
"A* Search";TRUE;"Solution";5;600;16;5;111;0.0034;"8,9,0"
"A* Search + GS";TRUE;"Solution";5;600;10;5;28;0.0025;"8,9,0"
